,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
74,ksps_kt,0.004110949359362711,3.311865887279618,0.18203133946843794,-0.17129672637487256,0.36482434806518727,0.29219324387043566,0.13771878681032135,0.09728704072338346
47,kgky_kt,0.0041170310749458665,3.0495261530065805,-0.16087509517753742,0.13052174353012097,0.23866679639058025,0.24761099269524378,0.09490365232740317,0.11866443364636581
52,kdfw_kt,0.004153121482741458,3.19683901258386,0.018848485308667617,-0.02154858210688055,0.23969662265824437,0.20663153201365167,0.08798682396001856,0.06077712968609461
13,kcrs_kt,0.004366518500980108,2.45175357417435,0.025334195474244627,-0.025973934908023275,0.24388804972663233,0.3040117453551505,0.08891003002662323,0.08426421142476492
83,kfsd_kt,0.004395968371747086,3.420632864989106,-0.0017737801390177966,-0.031699537430741095,0.23096702645979483,0.19951025014600335,0.05330188115705781,0.041336141630985423
63,kabi_kt,0.004450345232166227,3.064759853635413,0.05823867286077859,0.029536370312946814,0.29424164390192725,0.3877990228383172,0.1076650198603275,0.12743884731387922
91,klbb_kt,0.004467297877340092,3.3810368806808593,0.23583069846215296,-0.13903799016797455,0.3680806927134727,0.3323529958987929,0.17215419478638028,0.13182175936960672
54,kpir_kt,0.004629819390890262,3.033812676348294,-0.008662116514100213,0.07041745528777857,0.1557062950087796,0.2230146078744303,0.052995406660236,0.07818050085013373
14,kstj_kt,0.004650029323533448,2.8421796128608863,-0.10857667545443254,0.19469318278115183,0.3398287438713388,0.4098133754236011,0.1589595277330762,0.16462087917340362
4,klbf_kt,0.004682453839998947,3.3177677137167474,-0.16496688868794834,0.32795482023838873,0.3382202027936135,0.3806851863980267,0.11002910486368123,0.13320464920676933
31,ktrl_kt,0.004700702789876182,2.5670770415852178,-0.016514368185149574,0.19933069202604872,0.35409268120287524,0.4015169727073195,0.1626964700539979,0.1625966872944602
68,kicr_kt,0.004704666507169643,3.274324653481175,0.02273237799780535,0.029766105013133898,0.32268323522777026,0.3471333105758847,0.14750907456209528,0.1571687335990628
15,klar_kt,0.004789675534381376,4.195936075351249,0.11745457586363324,-0.09862262169823732,0.28632473420859855,0.3199630932789474,0.1290018814130267,0.13502176180234393
70,khlc_kt,0.004796015935744988,3.7727270047136865,0.08047573311907044,0.12150672977956917,0.24529053223557135,0.5158215513445308,0.08610343374626694,0.1268661977426362
89,ktki_kt,0.0048480933759030755,3.1093328251140364,-0.0025723549458067383,0.0930057535609204,0.23110022736667055,0.2694751158041727,0.07437217824028153,0.07010919782918279
51,krow_kt,0.005055855344023032,3.199006540063997,-0.04518405606648779,0.03637949609929914,0.26712676646028993,0.38150280051692553,0.13356533846332752,0.2005710463193019
84,kguy_kt,0.005147060078335021,3.753929401280362,0.02355575027141835,0.1712786120173691,0.4833577269961679,0.4013389761870891,0.25096080062373005,0.16684294779201814
